iter,PID,start,end,instance,activation,response_time
35,5338,3145.080342226,3145.081257611,420,1,0.0009153850000984676
36,5338,3145.113704399,3145.113937782,420,0,0.00023338299979513977
37,5338,3145.147003019,3145.147243537,421,0,0.00024051800028246362
38,5338,3145.180337735,3145.181337250,421,1,0.000999514999875828
39,5338,3145.213666947,3145.213914666,421,0,0.000247719000071811
40,5338,3145.246999008,3145.247202789,422,0,0.00020378099998197285
41,5338,3145.280335644,3145.281738241,422,1,0.0014025969999238441
42,5338,3145.313673528,3145.313947264,422,0,0.0002737360000537592
43,5338,3145.346996148,3145.347232187,423,0,0.00023603899990121135
44,5338,3145.380482581,3145.381407597,423,1,0.0009250160001101904
45,5338,3145.413687310,3145.413889907,423,0,0.00020259699977032142
46,5338,3145.447005033,3145.447192302,424,0,0.0001872689999800059
47,5338,3145.480330725,3145.481258526,424,1,0.0009278010002162773
48,5338,3145.513703683,3145.513942057,424,0,0.00023837399976400775
49,5338,3145.547019455,3145.547241189,425,0,0.00022173400020619738
50,5338,3145.580348219,3145.581338709,425,1,0.0009904900002766226
51,5338,3145.613664823,3145.613882140,425,0,0.00021731700007876498
52,5338,3145.646998259,3145.647170744,426,0,0.00017248499989364063
53,5338,3145.680345168,3145.681309417,426,1,0.0009642490003898274
54,5338,3145.713708013,3145.713945747,426,0,0.0002377339997110539
55,5338,3145.746996200,3145.747228334,427,0,0.00023213399981614202
56,5338,3145.780344580,3145.781383200,427,1,0.0010386200001448742
57,5338,3145.813677729,3145.813910535,427,0,0.0002328059999854304
58,5338,3145.847011453,3145.849062516,428,0,0.0020510629997261276
59,5338,3145.880338617,3145.881704830,428,1,0.0013662130004377104
60,5338,3145.913679926,3145.913841466,428,0,0.0001615400001355738
61,5338,3145.947345179,3145.947590817,429,0,0.00024563800025134697
62,5338,3145.980354574,3145.981312936,429,1,0.0009583619998920767
63,5338,3146.013670314,3146.013988755,429,0,0.00031844099976297
64,5338,3146.046998118,3146.047131914,430,0,0.00013379600022744853
65,5338,3146.080339651,3146.081793674,430,1,0.0014540229999511212
66,5338,3146.113675455,3146.113917638,430,0,0.0002421830004095682
67,5338,3146.147005467,3146.147186464,431,0,0.00018099699991580565
68,5338,3146.180343704,3146.181572441,431,1,0.0012287370000194642
69,5338,3146.213684148,3146.213917946,431,0,0.000233797999953822
70,5338,3146.247006320,3146.247240310,432,0,0.00023399000019708183
71,5338,3146.280329292,3146.281307398,432,1,0.0009781060002751474
72,5338,3146.313687209,3146.313911791,432,0,0.00022458200010078144
73,5338,3146.347013765,3146.347200298,433,0,0.00018653300003279583
74,5338,3146.380350594,3146.381391837,433,1,0.0010412430001451867
75,5338,3146.413740159,3146.413939909,433,0,0.00019974999986516195
76,5338,3146.447002650,3146.447137725,434,0,0.0001350750003439316
77,5338,3146.480336374,3146.481655705,434,1,0.0013193309996495373
78,5338,3146.513671506,3146.513884600,434,0,0.0002130940001734416
79,5338,3146.547002671,3146.547190196,435,0,0.00018752500000118744
80,5338,3146.580347435,3146.581323461,435,1,0.0009760259999893606
81,5338,3146.613670855,3146.613884525,435,0,0.00021366999999372638
82,5338,3146.647023908,3146.647154824,436,0,0.00013091600021652994
83,5338,3146.680450051,3146.681421629,436,1,0.0009715779997350182
84,5338,3146.713734686,3146.713936227,436,0,0.0002015410000240081
85,5338,3146.747006200,3146.747198878,437,0,0.00019267799962108256
86,5338,3146.780549466,3146.781716890,437,1,0.0011674239999592828
87,5338,3146.813662321,3146.813915639,437,0,0.0002533179999772983
88,5338,3146.847070735,3146.848275343,438,0,0.0012046079996252956
89,5338,3146.880362314,3146.881352037,438,1,0.0009897229997477552
90,5338,3146.913701607,3146.914125458,438,0,0.00042385100005049026
91,5338,3146.947476143,3146.947664820,439,0,0.00018867700009650434
92,5338,3146.983116585,3146.984892248,439,1,0.0017756629999894358
93,5338,3147.013665274,3147.013849279,439,0,0.00018400500039206236
94,5338,3147.047012087,3147.047158715,440,0,0.00014662800003861776
95,5338,3147.080333939,3147.081619477,440,1,0.0012855380000473815
96,5338,3147.113674672,3147.113871829,440,0,0.00019715700000233483
97,5338,3147.147092558,3147.147267763,441,0,0.00017520499977763393
98,5338,3147.180339240,3147.181335235,441,1,0.0009959949998119555
99,5338,3147.213754631,3147.213952204,441,0,0.00019757300015044166
100,5338,3147.247020545,3147.247168901,442,0,0.00014835599995421944
101,5338,3147.280342685,3147.281794596,442,1,0.0014519110000037472
102,5338,3147.313678809,3147.313905695,442,0,0.0002268859998366679
103,5338,3147.347029590,3147.347235932,443,0,0.00020634199972846545
104,5338,3147.380332562,3147.381230890,443,1,0.0008983279999483784
105,5338,3147.413696143,3147.413924437,443,0,0.00022829399995316635
106,5338,3147.447016075,3147.447186031,444,0,0.00016995599980873521
107,5338,3147.480333190,3147.481368610,444,1,0.0010354200003348524
108,5338,3147.513670371,3147.513878888,444,0,0.0002085169999190839
109,5338,3147.547011647,3147.547208133,445,0,0.00019648599982247106
110,5338,3147.583410766,3147.584831444,445,1,0.0014206780001586594
111,5338,3147.613695896,3147.613924734,445,0,0.00022883800011186395
112,5338,3147.647004628,3147.647151416,446,0,0.0001467879997107957
113,5338,3147.680340976,3147.681380684,446,1,0.001039708000007522
114,5338,3147.713693293,3147.713901203,446,0,0.00020791000042663654
115,5338,3147.747010121,3147.747182638,447,0,0.00017251700000997516
116,5338,3147.780357190,3147.782999884,447,1,0.0026426940003148047
117,5338,3147.813681154,3147.813880935,447,0,0.00019978099999207188
118,5338,3147.848098331,3147.849657445,448,0,0.0015591139999742154
119,5338,3147.880476318,3147.881431127,448,1,0.0009548089997224452
120,5338,3147.913819194,3147.913995935,448,0,0.00017674099990472314
121,5338,3147.946998290,3147.947177975,449,0,0.0001796850001483108
122,5338,3147.980334575,3147.981452845,449,1,0.001118270000006305
123,5338,3148.013678091,3148.013877937,449,0,0.0001998459997594182
124,5338,3148.047009127,3148.047146251,450,0,0.00013712400004806113
125,5338,3148.080336676,3148.081302141,450,1,0.0009654649998083187
126,5338,3148.113715617,3148.113907910,450,0,0.000192293000054633
127,5338,3148.147008060,3148.147184353,451,0,0.00017629299964028178
128,5338,3148.180504317,3148.181468087,451,1,0.0009637699999984761
129,5338,3148.213711158,3148.214357319,451,0,0.0006461610000769724
130,5338,3148.247006641,3148.247136981,452,0,0.0001303399999414978
131,5338,3148.280344493,3148.281291111,452,1,0.0009466179999435553
132,5338,3148.313691626,3148.313890351,452,0,0.00019872499979101121
133,5338,3148.347006246,3148.347171722,453,0,0.0001654759998928057
134,5338,3148.380342530,3148.381269563,453,1,0.0009270330001527327
135,5338,3148.413702079,3148.413883172,453,0,0.00018109300026480923
136,5338,3148.447010107,3148.447162399,454,0,0.00015229199971145135
137,5338,3148.482668629,3148.483609134,454,1,0.0009405050000168558
138,5338,3148.513670387,3148.513821495,454,0,0.00015110799995454727
139,5338,3148.547025008,3148.547180404,455,0,0.00015539599962721695
140,5338,3148.580472431,3148.581497035,455,1,0.0010246040001220535
141,5338,3148.613675208,3148.613879534,455,0,0.0002043259996753477
142,5338,3148.647166953,3148.647272491,456,0,0.00010553799984336365
143,5338,3148.681270714,3148.682269524,456,1,0.0009988099996007804
144,5338,3148.713660701,3148.713856898,456,0,0.0001961969996955304
145,5338,3148.748095382,3148.748220762,457,0,0.00012538000009953976
146,5338,3148.780332565,3148.781432403,457,1,0.0010998379998454766
147,5338,3148.813678322,3148.813852439,457,0,0.00017411699991498608
148,5338,3148.846996366,3148.848202702,458,0,0.0012063359999956447
149,5338,3148.880323978,3148.881207458,458,1,0.0008834800000840914
150,5338,3148.913898765,3148.914060369,458,0,0.0001616039999134955
151,5338,3148.947799320,3148.947942428,459,0,0.00014310799997474533
152,5338,3148.980344703,3148.981404540,459,1,0.0010598369999570423
153,5338,3149.013802719,3149.013995908,459,0,0.00019318900012876838
154,5338,3149.047016408,3149.047154588,460,0,0.00013817999979437445
155,5338,3149.080344308,3149.081295022,460,1,0.0009507140002824599
156,5338,3149.113669648,3149.113897078,460,0,0.0002274299999953655
157,5338,3149.147008749,3149.147141232,461,0,0.00013248300001578173
158,5338,3149.180341225,3149.181452167,461,1,0.0011109419997410441
159,5338,3149.213710886,3149.213898251,461,0,0.00018736499987426214
160,5338,3149.247004417,3149.247128805,462,0,0.00012438800013114815
161,5338,3149.282911682,3149.284205413,462,1,0.0012937310002598679
162,5338,3149.313681146,3149.313825502,462,0,0.00014435599996431847
163,5338,3149.347008086,3149.347119417,463,0,0.00011133099997095997
164,5338,3149.380854368,3149.381824090,463,1,0.0009697219998088258
