iter,PID,start,end,instance,activation,response_time
0,5339,3144.220059294,3144.220266883,411,1,0.00020758900018336135
1,5339,3144.320111188,3144.320264440,412,1,0.00015325200001825579
2,5339,3144.420110729,3144.420260717,413,1,0.0001499879999755649
3,5339,3144.520080637,3144.520273698,414,1,0.00019306100011817762
4,5339,3144.620047697,3144.620199573,415,1,0.00015187600001809187
5,5339,3144.720129832,3144.720284844,416,1,0.000155012000050192
6,5339,3144.820089148,3144.831849623,417,1,0.011760474999846338
7,5339,3144.920067376,3144.920310775,418,1,0.00024339899982805946
8,5339,3145.020090278,3145.020231433,419,1,0.00014115499971012468
9,5339,3145.120113787,3145.120276127,420,1,0.00016234000031545293
10,5339,3145.220089135,3145.220348886,421,1,0.00025975100015784847
11,5339,3145.320246888,3145.320393708,422,1,0.00014682000028187758
12,5339,3145.420091481,3145.420354688,423,1,0.00026320699998905184
13,5339,3145.520089870,3145.520253874,424,1,0.00016400399999838555
14,5339,3145.620036641,3145.620229510,425,1,0.00019286900032966514
15,5339,3145.720100824,3145.720357983,426,1,0.00025715900028444594
16,5339,3145.820132877,3145.821795034,427,1,0.0016621569998278574
17,5339,3145.920084385,3145.920248229,428,1,0.0001638440003262076
18,5339,3146.021246421,3146.021699361,429,1,0.00045294000028661685
19,5339,3146.120147340,3146.120575384,430,1,0.0004280439998183283
20,5339,3146.220076799,3146.220204099,431,1,0.00012730000025840127
21,5339,3146.320083412,3146.320244217,432,1,0.00016080500017778832
22,5339,3146.420094762,3146.420239405,433,1,0.00014464299965766259
23,5339,3146.520096094,3146.520239810,434,1,0.00014371599991136463
24,5339,3146.620078291,3146.620206838,435,1,0.00012854699980380246
25,5339,3146.720134377,3146.720275597,436,1,0.0001412200003869657
26,5339,3146.820106845,3146.822415419,437,1,0.0023085740003807587
27,5339,3146.920082865,3146.920214773,438,1,0.00013190800018492155
28,5339,3147.020095047,3147.020267083,439,1,0.00017203600009452202
29,5339,3147.120076923,3147.120258304,440,1,0.00018138099994757795
30,5339,3147.220115185,3147.220576317,441,1,0.00046113200005493127
31,5339,3147.320144166,3147.320303819,442,1,0.0001596530000824714
32,5339,3147.420103610,3147.420418499,443,1,0.0003148890000375104
33,5339,3147.520093071,3147.520277716,444,1,0.00018464499999026884
34,5339,3147.620090723,3147.620232647,445,1,0.00014192400021784124
35,5339,3147.720102425,3147.720239996,446,1,0.0001375710003230779
36,5339,3147.820065580,3147.821401904,447,1,0.0013363240000217047
37,5339,3147.920295175,3147.920426763,448,1,0.00013158799993107095
38,5339,3148.020093079,3148.020236475,449,1,0.00014339599965751404
39,5339,3148.120123053,3148.120498167,450,1,0.0003751139997802966
40,5339,3148.220088000,3148.220292870,451,1,0.0002048699998340453
41,5339,3148.320110102,3148.320259066,452,1,0.00014896399989083875
42,5339,3148.420100202,3148.420239566,453,1,0.0001393640000060259
43,5339,3148.520036830,3148.520269956,454,1,0.00023312599978453363
44,5339,3148.620093684,3148.620229240,455,1,0.0001355559998046374
45,5339,3148.720104105,3148.720293902,456,1,0.00018979700007548672
46,5339,3148.820084413,3148.821866221,457,1,0.0017818080000324699
47,5339,3148.920057201,3148.920244118,458,1,0.00018691700006456813
48,5339,3149.020121160,3149.020288876,459,1,0.00016771599985077046
49,5339,3149.120029690,3149.120163454,460,1,0.00013376399965636665
50,5339,3149.220041424,3149.220254453,461,1,0.00021302899995134794
51,5339,3149.320063941,3149.320194280,462,1,0.0001303389999520732
52,5339,3149.420127483,3149.420437156,463,1,0.0003096729997196235
53,5339,3149.520081327,3149.520472506,464,1,0.0003911789999619941
54,5339,3149.620098148,3149.620243976,465,1,0.00014582799985873862
55,5339,3149.720104537,3149.720281438,466,1,0.00017690099957690109
56,5339,3149.820092014,3149.821493971,467,1,0.0014019570003256376
57,5339,3149.920093891,3149.920223430,468,1,0.00012953900022694143
58,5339,3150.020081879,3150.020224763,469,1,0.00014288400006989832
59,5339,3150.120052363,3150.120216240,470,1,0.00016387699997721938
60,5339,3150.220183300,3150.220317543,471,1,0.00013424300004771794
61,5339,3150.320041941,3150.320176888,472,1,0.0001349469998785935
62,5339,3150.420104203,3150.420294960,473,1,0.0001907569999275438
63,5339,3150.520142945,3150.520481802,474,1,0.00033885700031532906
64,5339,3150.620088884,3150.620210328,475,1,0.00012144400034230785
65,5339,3150.720086729,3150.720218765,476,1,0.00013203600019551232
66,5339,3150.820093118,3150.822170550,477,1,0.002077432000078261
67,5339,3150.920102067,3150.920229047,478,1,0.00012698000000455067
68,5339,3151.020119304,3151.020504851,479,1,0.0003855469999507477
69,5339,3151.120118653,3151.120284066,480,1,0.00016541299964956124
70,5339,3151.220100722,3151.220226101,481,1,0.00012537900011011516
71,5339,3151.320069670,3151.320233994,482,1,0.0001643239997974888
72,5339,3151.420085979,3151.420224415,483,1,0.00013843600027030334
73,5339,3151.520081360,3151.520332566,484,1,0.0002512060000299243
74,5339,3151.620109573,3151.620242281,485,1,0.00013270800036480068
75,5339,3151.720064729,3151.720220509,486,1,0.00015577999965898925
76,5339,3151.820125519,3151.821351088,487,1,0.0012255689998710295
77,5339,3151.920074499,3151.920324585,488,1,0.00025008600005094195
78,5339,3152.020075511,3152.020203259,489,1,0.00012774800006809528
79,5339,3152.120043819,3152.120185103,490,1,0.0001412840001648874
80,5339,3152.220167300,3152.220299751,491,1,0.0001324509998994472
81,5339,3152.320079894,3152.320222714,492,1,0.00014281999983722926
82,5339,3152.420038314,3152.420185806,493,1,0.0001474919999964186
83,5339,3152.520086464,3152.520216355,494,1,0.00012989099968763185
84,5339,3152.620161271,3152.620336859,495,1,0.00017558799981998163
85,5339,3152.720077609,3152.720226125,496,1,0.00014851600008114474
86,5339,3152.820080606,3152.821321535,497,1,0.001240929000232427
87,5339,3152.920093523,3152.920227703,498,1,0.00013417999980447348
88,5339,3153.020107784,3153.020612342,499,1,0.000504557999647659
89,5339,3153.120080157,3153.120218432,500,1,0.00013827500015395344
90,5339,3153.220108306,3153.220300663,501,1,0.00019235700028730207
91,5339,3153.320122407,3153.320286316,502,1,0.00016390900009355391
92,5339,3153.420103676,3153.420267072,503,1,0.00016339600006176624
93,5339,3153.520084752,3153.520238580,504,1,0.00015382799983854056
94,5339,3153.620118854,3153.620266794,505,1,0.00014794000026085996
95,5339,3153.720082873,3153.720446435,506,1,0.00036356200007503503
96,5339,3153.820168913,3153.821563958,507,1,0.0013950449997537362
97,5339,3153.922984465,3153.923149397,508,1,0.00016493200018885545
98,5339,3154.020080184,3154.020202971,509,1,0.00012278699978196528
99,5339,3154.120105293,3154.120236465,510,1,0.00013117199978296412
100,5339,3154.220092418,3154.220215845,511,1,0.00012342699983491912
101,5339,3154.320098807,3154.320267867,512,1,0.0001690600001893472
102,5339,3154.420193806,3154.420380883,513,1,0.00018707699973674607
103,5339,3154.520106465,3154.520432201,514,1,0.0003257359999224718
104,5339,3154.620059668,3154.620326523,515,1,0.00026685500006351504
105,5339,3154.720112522,3154.720297199,516,1,0.00018467700010660337
106,5339,3154.820082686,3154.821495588,517,1,0.0014129019996289571
107,5339,3154.920071507,3154.920235607,518,1,0.0001640999998926418
108,5339,3155.020095016,3155.020217068,519,1,0.0001220519998241798
109,5339,3155.120103741,3155.120256577,520,1,0.00015283599987014895
110,5339,3155.220063281,3155.220391322,521,1,0.00032804100010253023
111,5339,3155.320063622,3155.320223306,522,1,0.00015968400020938134
112,5339,3155.420089723,3155.420226751,523,1,0.0001370280001538049
113,5339,3155.520437369,3155.520565533,524,1,0.0001281640002162021
114,5339,3155.620066596,3155.620185447,525,1,0.00011885100002473337
115,5339,3155.720094490,3155.720227357,526,1,0.00013286700004755403
116,5339,3155.820059694,3155.821372081,527,1,0.001312386999870796
117,5339,3155.920093955,3155.920244007,528,1,0.0001500519997534866
118,5339,3156.020079576,3156.020275165,529,1,0.00019558899975891109
119,5339,3156.120060012,3156.120192528,530,1,0.00013251600012154086
120,5339,3156.220096546,3156.220431787,531,1,0.00033524099990245304
121,5339,3156.320127959,3156.320256443,532,1,0.00012848400001530536
122,5339,3156.420106028,3156.420373203,533,1,0.0002671749998626183
123,5339,3156.520264933,3156.520447690,534,1,0.00018275699994774186
124,5339,3156.620042260,3156.620454591,535,1,0.0004123310000068159
125,5339,3156.720078985,3156.720206189,536,1,0.00012720399990939768
126,5339,3156.820088062,3156.822333434,537,1,0.0022453719998338784
127,5339,3156.920068211,3156.920225463,538,1,0.00015725200000815676
128,5339,3157.020077544,3157.020228300,539,1,0.0001507560000391095
129,5339,3157.120132286,3157.120292354,540,1,0.0001600679997864063
130,5339,3157.220101906,3157.220229301,541,1,0.0001273950001632329
131,5339,3157.320119399,3157.320240298,542,1,0.00012089900019418565
132,5339,3157.420137180,3157.420368963,543,1,0.00023178299989012885
133,5339,3157.520106576,3157.520259445,544,1,0.00015286899997590808
134,5339,3157.620098533,3157.620248329,545,1,0.00014979599973230506
135,5339,3157.720097242,3157.720229821,546,1,0.00013257899991003796
