instance,instance_respon_time,node,participation_time,participation_rate
412,0.3508917929998461,voxel_grid_filter,0.0030392500002562883,0.008661502095198965
412,0.3508917929998461,imm_ukf_pda_track,0.12999067999953695,0.37045802322197363
412,0.3508917929998461,op_global_planner,0.0008898780001800333,0.002536046775481077
412,0.3508917929998461,vision_darknet_detect,0.506627865000155,1.4438293374401527
412,0.3508917929998461,twist_gate,0.00014730000020790612,0.00041978753321247024
412,0.3508917929998461,ndt_matching,0.12022712199996022,0.34263304072208084
412,0.3508917929998461,pose_relay,0.0005378379996727745,0.0015327745202436535
412,0.3508917929998461,pure_pursuit,0.006165477999275026,0.017570881172697395
412,0.3508917929998461,ray_ground_filter,0.01586576799991235,0.04521555737816675
412,0.3508917929998461,twist_filter,0.00036084100020161713,0.001028354060711176
412,0.3508917929998461,system_instance,0.0,0.0
412,0.3508917929998461,op_trajectory_evaluator,0.27591970599814886,0.7863384425131593
412,0.3508917929998461,republish,0.09835927100039044,0.2803122585441421
412,0.3508917929998461,lidar_republisher,0.006736276999617985,0.019197590636213426
412,0.3508917929998461,op_behavior_selector,0.04139576300030967,0.1179730156878529
412,0.3508917929998461,op_trajectory_generator,0.034120915001039975,0.0972405615683777
412,0.3508917929998461,vel_relay,0.0003524580001794675,0.0010044635047352678
412,0.3508917929998461,op_motion_predictor,0.011877630000071804,0.033849837006809144
412,0.3508917929998461,lidar_euclidean_cluster_detect,0.0946960389992455,0.2698724817405092
413,0.35143452700003763,voxel_grid_filter,0.0007414919996335811,0.0021099008283653976
413,0.35143452700003763,imm_ukf_pda_track,0.035177454000404396,0.10009675002820832
413,0.35143452700003763,op_global_planner,0.00034692099961830536,0.0009871568470512524
413,0.35143452700003763,vision_darknet_detect,0.24945787799970276,0.7098274609758991
413,0.35143452700003763,twist_gate,0.0001539880004202132,0.0004381698114146785
413,0.35143452700003763,ndt_matching,0.03003136400002404,0.085453652651553
413,0.35143452700003763,pose_relay,0.00012665900021602283,0.00036040568152829577
413,0.35143452700003763,pure_pursuit,0.0026167419996454555,0.007445887636547376
413,0.35143452700003763,ray_ground_filter,0.00511616799985859,0.014557954915619438
413,0.35143452700003763,twist_filter,0.0001499879999755649,0.0004267878892148489
413,0.35143452700003763,system_instance,0.0,0.0
413,0.35143452700003763,op_trajectory_evaluator,0.0673398840003756,0.19161430885921005
413,0.35143452700003763,republish,0.036348013000406354,0.10342755252503252
413,0.35143452700003763,lidar_republisher,0.0005140610001035384,0.0014627504146838804
413,0.35143452700003763,op_behavior_selector,0.0110252239996953,0.031372056962673214
413,0.35143452700003763,op_trajectory_generator,0.010443765999298193,0.02971752971584683
413,0.35143452700003763,vel_relay,0.0001395240001329512,0.00039701278449779705
413,0.35143452700003763,op_motion_predictor,0.0036299849998613354,0.01032905056554374
413,0.35143452700003763,lidar_euclidean_cluster_detect,0.014397506000022986,0.04096781873689219
414,0.35134057300001587,voxel_grid_filter,0.0007167549997575406,0.0020400575818424146
414,0.35134057300001587,imm_ukf_pda_track,0.02828165299979446,0.08049640483677695
414,0.35134057300001587,op_global_planner,0.00023104599995349417,0.0006576126348876984
414,0.35134057300001587,vision_darknet_detect,0.0,0.0
414,0.35134057300001587,twist_gate,0.00011091499982285313,0.00031569083774121395
414,0.35134057300001587,ndt_matching,0.02762617999997019,0.07863077060550289
414,0.35134057300001587,pose_relay,0.00010877099975914462,0.0003095884965131531
414,0.35134057300001587,pure_pursuit,0.001328131999798643,0.0037801839635486193
414,0.35134057300001587,ray_ground_filter,0.005239660999905027,0.014913338801621384
414,0.35134057300001587,twist_filter,0.00019306100011817762,0.000549498164899301
414,0.35134057300001587,system_instance,0.0,0.0
414,0.35134057300001587,op_trajectory_evaluator,0.06916217200068786,0.19685222065339075
414,0.35134057300001587,republish,0.032983634999709466,0.09387937953783657
414,0.35134057300001587,lidar_republisher,0.00079131700022117,0.0022522790165231906
414,0.35134057300001587,op_behavior_selector,0.00927199300031134,0.02639032811138189
414,0.35134057300001587,op_trajectory_generator,0.009835336999913125,0.027993740990206333
414,0.35134057300001587,vel_relay,0.00010224300012851018,0.00029100823527291724
414,0.35134057300001587,op_motion_predictor,0.002572100000179489,0.007320816887776218
414,0.35134057300001587,lidar_euclidean_cluster_detect,0.022023117000117054,0.06268310207405525
415,0.35142444699977204,voxel_grid_filter,0.0006819390000600833,0.001940499603490948
415,0.35142444699977204,imm_ukf_pda_track,0.028823939000176324,0.08202030122336657
415,0.35142444699977204,op_global_planner,0.0002877190004255681,0.0008187222115078258
415,0.35142444699977204,vision_darknet_detect,0.24701867599969773,0.7029069209856592
415,0.35142444699977204,twist_gate,0.0001401949998580676,0.0003989335433404226
415,0.35142444699977204,ndt_matching,0.03192715799968937,0.09085070282463895
415,0.35142444699977204,pose_relay,0.00015194000025076093,0.00043235466840148284
415,0.35142444699977204,pure_pursuit,0.0014343100001497078,0.00408141781937737
415,0.35142444699977204,ray_ground_filter,0.006876695999835647,0.019568063800183222
415,0.35142444699977204,twist_filter,0.00015187600001809187,0.00043217255178092486
415,0.35142444699977204,system_instance,0.0,0.0
415,0.35142444699977204,op_trajectory_evaluator,0.07505279299994072,0.21356736459484107
415,0.35142444699977204,republish,0.03340492600000289,0.09505578307141664
415,0.35142444699977204,lidar_republisher,0.0009678020001047116,0.002753940451118756
415,0.35142444699977204,op_behavior_selector,0.01133214399942517,0.032246316658307274
415,0.35142444699977204,op_trajectory_generator,0.011094920999312308,0.03157128393893298
415,0.35142444699977204,vel_relay,0.00012947599998369697,0.00036843196621372487
